vulnerability_id,vulnerability_type,cwe,start_line,end_line,start_column,end_column,triage_true_positive,ground_truth_vulnerability,filename,category,data_flow,sink,source
67abe78e56e6743164ca8311,Information Disclosure,CWE-209,39,102,,,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest02392.java,97B9518A-F1BC-44CE-BEB1-D5FBDDFCCF9D,None,None,None
67abe78e56e6743164ca8313,Information Disclosure,CWE-209,49,81,,,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01011.java,97B9518A-F1BC-44CE-BEB1-D5FBDDFCCF9D,None,None,None
67abe78e56e6743164ca8314,Information Disclosure,CWE-209,39,66,,,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00925.java,97B9518A-F1BC-44CE-BEB1-D5FBDDFCCF9D,None,None,None
67abe78e56e6743164ca8315,Trust Boundary Violation,CWE-501,68,,,,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00995.java,trustbound,Split.code,SessionSetAttribute-S^-O.code,RequestGetCookies.code
67abe78e56e6743164ca8316,Path Traversal,CWE-22,63,,,,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00700.java,pathtraver,BASE64.code,FileOutputStream-F.code,RequestGetParameterValues.code
67abe78e56e6743164ca8317,Header Manipulation,CWE-113,100,,,,FALSE,FALSE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01860.java,F493EB79-7E64-4B7F-BCF4-41080CBF6508,None,None,None
67abe78e56e6743164ca8318,Resource Injection,CWE-99,82,,,,TRUE,FALSE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest02700.java,2DEE27D8-C41F-48FC-8B40-FA60B403AEAE,None,None,None
67abe78e56e6743164ca831b,Weak Random Number,CWE-338,49,,,,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest02703.java,weakrand,StringBuilderAppend.code,RandomNextFloat.code,StaticGetParameterSeparate.code
67abe78e56e6743164ca831c,Missing HttpOnly Flag,CWE-1004,37,,,,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00071.java,java.lang.security.audit.cookie-missing-httponly.cookie-missing-httponly,None,None,None
67abe78f56e6743164ca831e,Information Disclosure,CWE-539,38,,,,FALSE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00972.java,97B9518A-F1BC-44CE-BEB1-D5FBDDFCCF9D,None,None,None
67abe78f56e6743164ca831f,Weak Encryption Algorithm,CWE-327,71,,,,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01106.java,crypto,ESAPIEncodeForHtml-S.code,CipherGetInstance-S3.code,RequestGetHeaderNames.code
67abe78f56e6743164ca8321,Information Disclosure,CWE-497,65,,,,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest02113.java,97B9518A-F1BC-44CE-BEB1-D5FBDDFCCF9D,None,None,None
67abe78f56e6743164ca8322,Cross-Site Scripting,CWE-79,55,,,,FALSE,FALSE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01918.java,xss,SafeQuestionmarkConditional.code,PrintWriterPrintf-L-S-O[]^.code,RequestGetHeader.code
67abe78f56e6743164ca8323,Command Injection,CWE-77,67,,,,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01928.java,cmdi,UnsafeSwitch.code,ProcessBuilderCommand-L.code,RequestGetHeader.code
