vulnerability_id,vulnerability_type,cwe,start_line,end_line,start_column,end_column,triage_true_positive,ground_truth_vulnerability,filename,category,sink,source
67a54bea2d107a279f18a2bf,Hardcoded Credential,CWE-798,65,65,23,30,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest02337.java,java/NoHardcodedCredentials,None,None
67a54bea2d107a279f18a2c0,Hardcoded Credential,CWE-798,66,66,23,31,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest02003.java,java/NoHardcodedCredentials,None,None
67a54bea2d107a279f18a2c1,Hardcoded Credential,CWE-798,58,58,27,38,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest02256.java,java/NoHardcodedCredentials,None,None
67a54bea2d107a279f18a2c2,Hardcoded Credential,CWE-798,51,51,23,30,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01279.java,java/NoHardcodedCredentials,None,None
67a54bea2d107a279f18a2c3,Hardcoded Credential,CWE-798,66,66,27,37,FALSE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00010.java,java/NoHardcodedCredentials,None,None
67a54bea2d107a279f18a2c4,Hardcoded Credential,CWE-798,60,60,27,42,FALSE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest02434.java,java/NoHardcodedCredentials,None,None
67a54bea2d107a279f18a2c5,Hardcoded Credential,CWE-798,75,75,23,29,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest01648.java,java/NoHardcodedCredentials,None,None
67a54bea2d107a279f18a2c6,Hardcoded Credential,CWE-798,78,78,27,38,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest02618.java,java/NoHardcodedCredentials,None,None
67a54bea2d107a279f18a2c7,Hardcoded Credential,CWE-798,70,70,23,30,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00081.java,java/NoHardcodedCredentials,None,None
67a54bea2d107a279f18a2c8,Hardcoded Credential,CWE-798,64,64,27,38,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00416.java,java/NoHardcodedCredentials,None,None
