vulnerability_id,vulnerability_type,cwe,start_line,end_line,start_column,end_column,triage_true_positive,ground_truth_vulnerability,filename,category,sink,source
67a6308f49f3a081ad5ba473,Hardcoded Credential,CWE-259,74,74,19,61,TRUE,TRUE,src/main/java/org/owasp/benchmark/helpers/HibernateUtil.java,java/NoHardcodedCredentials,None,None
67a6308f49f3a081ad5ba474,Weak Encryption Algorithm,,59,59,52,74,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00020.java,crypto,CipherGetInstance-S-S.code,RequestGetParameter.code
67a6308f49f3a081ad5ba475,Weak Encryption Algorithm,,59,59,52,74,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00020.java,crypto,CipherGetInstance-S-S.code,RequestGetParameter.code
67a6308f49f3a081ad5ba476,Weak Encryption Algorithm,,60,60,52,74,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00050.java,crypto,CipherGetInstance-S-S.code,StaticGetParameterSeparate.code
67a6308f49f3a081ad5ba477,Weak Encryption Algorithm,,60,60,52,74,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00050.java,crypto,CipherGetInstance-S-S.code,StaticGetParameterSeparate.code
67a6308f49f3a081ad5ba478,Weak Encryption Algorithm,,85,85,28,50,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00053.java,crypto,CipherGetInstance-S-P.code,RequestGetCookies.code
67a6308f49f3a081ad5ba479,Weak Encryption Algorithm,,85,85,28,50,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00053.java,crypto,CipherGetInstance-S-P.code,RequestGetCookies.code
67a6308f49f3a081ad5ba47a,Weak Encryption Algorithm,,79,79,52,74,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00055.java,crypto,CipherGetInstance-S-S.code,RequestGetCookies.code
67a6308f49f3a081ad5ba47b,Weak Encryption Algorithm,,79,79,52,74,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00055.java,crypto,CipherGetInstance-S-S.code,RequestGetCookies.code
67a6308f49f3a081ad5ba47c,Weak Encryption Algorithm,,89,89,52,74,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00056.java,crypto,CipherGetInstance-S-S.code,RequestGetCookies.code
67a6308f49f3a081ad5ba47d,Weak Encryption Algorithm,,89,89,52,74,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00056.java,crypto,CipherGetInstance-S-S.code,RequestGetCookies.code
67a6308f49f3a081ad5ba47e,Weak Encryption Algorithm,,86,86,28,50,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00119.java,crypto,CipherGetInstance-S-P.code,RequestGetHeader.code
67a6308f49f3a081ad5ba47f,Weak Encryption Algorithm,,86,86,28,50,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00119.java,crypto,CipherGetInstance-S-P.code,RequestGetHeader.code
67a6308f49f3a081ad5ba480,Weak Encryption Algorithm,,70,70,28,50,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00120.java,crypto,CipherGetInstance-S-P.code,RequestGetHeader.code
67a6308f49f3a081ad5ba481,Weak Encryption Algorithm,,70,70,28,50,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00120.java,crypto,CipherGetInstance-S-P.code,RequestGetHeader.code
67a6308f49f3a081ad5ba482,Weak Encryption Algorithm,,80,80,52,74,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00208.java,crypto,CipherGetInstance-S-S.code,RequestGetHeaderNames.code
67a6308f49f3a081ad5ba483,Weak Encryption Algorithm,,80,80,52,74,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00208.java,crypto,CipherGetInstance-S-S.code,RequestGetHeaderNames.code
67a6308f49f3a081ad5ba484,Weak Encryption Algorithm,,75,75,28,50,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00254.java,crypto,CipherGetInstance-S-P.code,RequestGetHeaders.code
67a6308f49f3a081ad5ba485,Weak Encryption Algorithm,,75,75,28,50,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00254.java,crypto,CipherGetInstance-S-P.code,RequestGetHeaders.code
67a6308f49f3a081ad5ba486,Weak Encryption Algorithm,,77,77,52,74,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00256.java,crypto,CipherGetInstance-S-S.code,RequestGetHeaders.code
67a6308f49f3a081ad5ba487,Weak Encryption Algorithm,,77,77,52,74,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00256.java,crypto,CipherGetInstance-S-S.code,RequestGetHeaders.code
67a6308f49f3a081ad5ba488,Weak Encryption Algorithm,,68,68,52,74,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00257.java,crypto,CipherGetInstance-S-S.code,RequestGetHeaders.code
67a6308f49f3a081ad5ba489,Weak Encryption Algorithm,,68,68,52,74,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00257.java,crypto,CipherGetInstance-S-S.code,RequestGetHeaders.code
67a6308f49f3a081ad5ba48a,Weak Encryption Algorithm,,67,67,52,74,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00258.java,crypto,CipherGetInstance-S-S.code,RequestGetHeaders.code
67a6308f49f3a081ad5ba48b,Weak Encryption Algorithm,,67,67,52,74,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00258.java,crypto,CipherGetInstance-S-S.code,RequestGetHeaders.code
67a6308f49f3a081ad5ba48c,Weak Encryption Algorithm,,80,80,28,50,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00521.java,crypto,CipherGetInstance-S-P.code,RequestGetParameterNames.code
67a6308f49f3a081ad5ba48d,Weak Encryption Algorithm,,80,80,28,50,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00521.java,crypto,CipherGetInstance-S-P.code,RequestGetParameterNames.code
67a6308f49f3a081ad5ba48e,Weak Encryption Algorithm,,79,79,52,74,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00522.java,crypto,CipherGetInstance-S-S.code,RequestGetParameterNames.code
67a6308f49f3a081ad5ba48f,Weak Encryption Algorithm,,79,79,52,74,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00522.java,crypto,CipherGetInstance-S-S.code,RequestGetParameterNames.code
