vulnerability_id,vulnerability_type,triage_true_positive,ground_truth_vulnerability,filename,cwe
67a56db6b61b6dd44db46ea6,Missing HttpOnly Flag,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00001.java,1004
67a56db6b61b6dd44db46ea7,Missing HttpOnly Flag,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00001.java,1004
67a56db6b61b6dd44db46ea8,Cross-Site Request Forgery,FALSE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00001.java,352
67a56db6b61b6dd44db46ea9,Path Traversal,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00001.java,22
67a56db6b61b6dd44db46eaa,Path Traversal,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00001.java,22
67a56db6b61b6dd44db46eab,Path Traversal,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00001.java,22
67a56db6b61b6dd44db46eac,Path Traversal,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00001.java,22
67a56db6b61b6dd44db46ead,Cross-Site Scripting,FALSE,FALSE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00001.java,79
67a56db6b61b6dd44db46eae,Missing HttpOnly Flag,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00002.java,1004
67a56db6b61b6dd44db46eaf,Missing HttpOnly Flag,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00002.java,1004
67a56db6b61b6dd44db46eb0,Cross-Site Request Forgery,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00002.java,352
67a56db6b61b6dd44db46eb1,Path Traversal,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00002.java,22
67a56db6b61b6dd44db46eb2,Path Traversal,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00002.java,22
67a56db6b61b6dd44db46eb3,Path Traversal,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00002.java,22
67a56db6b61b6dd44db46eb4,Path Traversal,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00002.java,22
67a56db6b61b6dd44db46eb5,Cross-Site Scripting,FALSE,FALSE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00002.java,79
67a56db6b61b6dd44db46eb6,Cross-Site Scripting,FALSE,FALSE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00002.java,79
67a56db6b61b6dd44db46eb7,Path Traversal,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00002.java,22
67a56db6b61b6dd44db46eb8,Path Traversal,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00002.java,22
67a56db6b61b6dd44db46eb9,Missing HttpOnly Flag,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00003.java,1004
67a56db6b61b6dd44db46eba,Missing HttpOnly Flag,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00003.java,1004
67a56db6b61b6dd44db46ebb,Cross-Site Request Forgery,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00003.java,352
67a56db6b61b6dd44db46ebc,Missing HttpOnly Flag,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00004.java,1004
67a56db6b61b6dd44db46ebd,Missing HttpOnly Flag,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00004.java,1004
67a56db6b61b6dd44db46ebe,Cross-Site Request Forgery,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00004.java,352
67a56db6b61b6dd44db46ebf,Trust Boundary Violation,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00004.java,501
67a56db6b61b6dd44db46ec0,Trust Boundary Violation,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00004.java,501
67a56db6b61b6dd44db46ec1,Cross-Site Scripting,FALSE,FALSE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00004.java,79
67a56db6b61b6dd44db46ec2,Weak Encryption Algorithm,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00005.java,327
67a56db6b61b6dd44db46ec3,Weak Encryption Algorithm,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00005.java,327
67a56db6b61b6dd44db46ec4,Weak Encryption Algorithm,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00005.java,327
67a56db6b61b6dd44db46ec5,Print Stack Trace,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00005.java,489
67a56db6b61b6dd44db46ec6,Command Injection,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00006.java,78
67a56db6b61b6dd44db46ec7,Command Injection,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00006.java,78
67a56db6b61b6dd44db46ec8,Command Injection,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00006.java,78
67a56db6b61b6dd44db46ec9,Command Injection,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00006.java,78
67a56db6b61b6dd44db46eca,Command Injection,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00006.java,78
67a56db6b61b6dd44db46ecb,Command Injection,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00007.java,78
67a56db6b61b6dd44db46ecc,Command Injection,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00007.java,78
67a56db6b61b6dd44db46ecd,SQL Injection,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00008.java,89
67a56db6b61b6dd44db46ece,SQL Injection,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00008.java,89
67a56db6b61b6dd44db46ecf,Cross-Site Request Forgery,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00010.java,352
67a56db6b61b6dd44db46ed0,Path Traversal,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00011.java,22
