vulnerability_id,vulnerability_type,triage_true_positive,ground_truth_vulnerability,filename,cwe
67a6308f49f3a081ad5ba473,Hardcoded Credential,TRUE,TRUE,src/main/java/org/owasp/benchmark/helpers/HibernateUtil.java,798
67a6308f49f3a081ad5ba474,Weak Encryption Algorithm,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00020.java,327
67a6308f49f3a081ad5ba475,Weak Encryption Algorithm,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00020.java,327
67a6308f49f3a081ad5ba476,Weak Encryption Algorithm,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00050.java,327
67a6308f49f3a081ad5ba477,Weak Encryption Algorithm,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00050.java,327
67a6308f49f3a081ad5ba478,Weak Encryption Algorithm,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00053.java,327
67a6308f49f3a081ad5ba479,Weak Encryption Algorithm,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00053.java,327
67a6308f49f3a081ad5ba47a,Weak Encryption Algorithm,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00055.java,327
67a6308f49f3a081ad5ba47b,Weak Encryption Algorithm,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00055.java,327
67a6308f49f3a081ad5ba47c,Weak Encryption Algorithm,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00056.java,327
67a6308f49f3a081ad5ba47d,Weak Encryption Algorithm,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00056.java,327
67a6308f49f3a081ad5ba47e,Weak Encryption Algorithm,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00119.java,327
67a6308f49f3a081ad5ba47f,Weak Encryption Algorithm,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00119.java,327
67a6308f49f3a081ad5ba480,Weak Encryption Algorithm,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00120.java,327
67a6308f49f3a081ad5ba481,Weak Encryption Algorithm,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00120.java,327
67a6308f49f3a081ad5ba482,Weak Encryption Algorithm,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00208.java,327
67a6308f49f3a081ad5ba483,Weak Encryption Algorithm,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00208.java,327
67a6308f49f3a081ad5ba484,Weak Encryption Algorithm,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00254.java,327
67a6308f49f3a081ad5ba485,Weak Encryption Algorithm,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00254.java,327
67a6308f49f3a081ad5ba486,Weak Encryption Algorithm,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00256.java,327
67a6308f49f3a081ad5ba487,Weak Encryption Algorithm,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00256.java,327
67a6308f49f3a081ad5ba488,Weak Encryption Algorithm,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00257.java,327
67a6308f49f3a081ad5ba489,Weak Encryption Algorithm,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00257.java,327
67a6308f49f3a081ad5ba48a,Weak Encryption Algorithm,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00258.java,327
67a6308f49f3a081ad5ba48b,Weak Encryption Algorithm,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00258.java,327
67a6308f49f3a081ad5ba48c,Weak Encryption Algorithm,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00521.java,327
67a6308f49f3a081ad5ba48d,Weak Encryption Algorithm,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00521.java,327
67a6308f49f3a081ad5ba48e,Weak Encryption Algorithm,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00522.java,327
67a6308f49f3a081ad5ba48f,Weak Encryption Algorithm,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00522.java,327
67a6308f49f3a081ad5ba490,Weak Encryption Algorithm,TRUE,TRUE,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00608.java,327
